run_id,model_order,condition_order,model_id,model_family,variant,representation,seed,input_space,condition_id,condition_family,severity,perturbation_seed,status,test_used_for_model_selection,model_retraining
tinyml_mlp_B0__clean,0,0,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,clean,clean,0.0,,planned,False,False
tinyml_mlp_B0__gaussian_noise_1pct,0,1,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_1pct,gaussian_noise,0.01,2101,planned,False,False
tinyml_mlp_B0__gaussian_noise_5pct,0,2,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_5pct,gaussian_noise,0.05,2105,planned,False,False
tinyml_mlp_B0__gaussian_noise_10pct,0,3,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_10pct,gaussian_noise,0.1,2110,planned,False,False
tinyml_mlp_B0__feature_mask_5pct,0,4,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_5pct,feature_masking,0.05,2205,planned,False,False
tinyml_mlp_B0__feature_mask_10pct,0,5,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_10pct,feature_masking,0.1,2210,planned,False,False
tinyml_mlp_B0__feature_mask_20pct,0,6,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_20pct,feature_masking,0.2,2220,planned,False,False
tinyml_mlp_B0__scale_drift_minus_10pct,0,7,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,scale_drift_minus_10pct,scale_drift,-0.1,,planned,False,False
tinyml_mlp_B0__scale_drift_plus_10pct,0,8,tinyml_mlp_B0,tinyml_mlp,B0,float32,2026,canonical_float32_perturbed_then_train_only_standardized,scale_drift_plus_10pct,scale_drift,0.1,,planned,False,False
tinyml_mlp_P50_QAT__clean,1,0,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,clean,clean,0.0,,planned,False,False
tinyml_mlp_P50_QAT__gaussian_noise_1pct,1,1,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_1pct,gaussian_noise,0.01,2101,planned,False,False
tinyml_mlp_P50_QAT__gaussian_noise_5pct,1,2,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_5pct,gaussian_noise,0.05,2105,planned,False,False
tinyml_mlp_P50_QAT__gaussian_noise_10pct,1,3,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,gaussian_noise_10pct,gaussian_noise,0.1,2110,planned,False,False
tinyml_mlp_P50_QAT__feature_mask_5pct,1,4,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_5pct,feature_masking,0.05,2205,planned,False,False
tinyml_mlp_P50_QAT__feature_mask_10pct,1,5,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_10pct,feature_masking,0.1,2210,planned,False,False
tinyml_mlp_P50_QAT__feature_mask_20pct,1,6,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,feature_mask_20pct,feature_masking,0.2,2220,planned,False,False
tinyml_mlp_P50_QAT__scale_drift_minus_10pct,1,7,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,scale_drift_minus_10pct,scale_drift,-0.1,,planned,False,False
tinyml_mlp_P50_QAT__scale_drift_plus_10pct,1,8,tinyml_mlp_P50_QAT,tinyml_mlp,P50-QAT,static_int8,2026,canonical_float32_perturbed_then_train_only_standardized,scale_drift_plus_10pct,scale_drift,0.1,,planned,False,False
hist_gradient_boosting_B0__clean,2,0,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,clean,clean,0.0,,planned,False,False
hist_gradient_boosting_B0__gaussian_noise_1pct,2,1,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,gaussian_noise_1pct,gaussian_noise,0.01,2101,planned,False,False
hist_gradient_boosting_B0__gaussian_noise_5pct,2,2,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,gaussian_noise_5pct,gaussian_noise,0.05,2105,planned,False,False
hist_gradient_boosting_B0__gaussian_noise_10pct,2,3,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,gaussian_noise_10pct,gaussian_noise,0.1,2110,planned,False,False
hist_gradient_boosting_B0__feature_mask_5pct,2,4,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,feature_mask_5pct,feature_masking,0.05,2205,planned,False,False
hist_gradient_boosting_B0__feature_mask_10pct,2,5,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,feature_mask_10pct,feature_masking,0.1,2210,planned,False,False
hist_gradient_boosting_B0__feature_mask_20pct,2,6,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,feature_mask_20pct,feature_masking,0.2,2220,planned,False,False
hist_gradient_boosting_B0__scale_drift_minus_10pct,2,7,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,scale_drift_minus_10pct,scale_drift,-0.1,,planned,False,False
hist_gradient_boosting_B0__scale_drift_plus_10pct,2,8,hist_gradient_boosting_B0,hist_gradient_boosting,B0,joblib_float_model,2026,canonical_float32_perturbed_unscaled,scale_drift_plus_10pct,scale_drift,0.1,,planned,False,False
