claim_id,manuscript_location,claim_role,claim_strength,claim_text,evidence_assets,drafting_rule
A01,Abstract,problem_and_scope,descriptive,"The study evaluates a TinyML-oriented IoT intrusion-detection pipeline under device-generalization, compression, deployment, statistical, selection, and robustness constraints.",figure_01_methodology_overview; table_01_dataset_protocol,Use as scope statement; do not add unsupported benchmark claims.
A02,Abstract,generalization_result,quantitative,"Strict leave-one-device-out evaluation covered nine devices, three model families, and 27 scientific runs without severe LODO cells under the locked gate.",figure_02_lodo_generalization,Use exact locked counts and model means only.
A03,Abstract,selection_result,quantitative,The balanced and relaxed multi-objective profiles selected the TinyML-MLP P50-QAT family; the strict sensitivity profile selected TinyML-MLP P50-FP32-FT.,figure_04_pareto_selection,Do not describe the strict sensitivity result as the final family.
A04,Abstract,robustness_result,quantitative,"Across 27 locked robustness evaluations, five severe-fragility evaluations occurred and all were associated with HGB; the locked final model was unchanged.",figure_05_input_robustness; table_06_robustness_results,Do not imply retraining or post-test reselection.
I01,I. Introduction,contribution,descriptive,Contribution 1: a leakage-aware strict device-generalization evaluation is performed before compression/model-family selection.,figure_01_methodology_overview; figure_02_lodo_generalization,"Present as a study-design contribution, not a universal novelty claim."
I02,I. Introduction,contribution,descriptive,Contribution 2: compression accuracy and deployment cost are evaluated jointly across a locked multi-seed architecture–variant matrix.,figure_03_compression_tradeoff; table_03_compression_results; table_04_deployment_benchmarks,Avoid claiming superiority before the selection subsection.
I03,I. Introduction,contribution,descriptive,"Contribution 3: model-family choice follows a predeclared eligibility, Pareto, and deployment-ordering process rather than a weighted score.",figure_04_pareto_selection,State that pairwise p-values were not used as a selection gate.
I04,I. Introduction,contribution,descriptive,Contribution 4: post-selection robustness and deterministic release integrity are checked without changing the selected model.,table_06_robustness_results; table_07_reproducibility_release,Do not imply that the release contains raw or processed datasets.
III01,III. Methodology and Evaluation Protocol,workflow,descriptive,"The locked workflow proceeds from strict LODO generalization through compression, CPU benchmarking, multi-objective selection, artifact locking, deterministic release, and robustness evaluation.",figure_01_methodology_overview,Preserve experimental ordering exactly.
III02,III. Methodology and Evaluation Protocol,protocol,quantitative,"The protocol uses nine held-out devices, three LODO model families, four classical baselines, two neural architectures, eleven compression variants, and five locked seeds for the compression matrix.",table_01_dataset_protocol,Use exact locked values only.
IVA01,IV-A. Strict Leave-One-Device-Out Generalization,result,quantitative,"The complete strict LODO matrix contains 27 device–model evaluations, with no severe LODO cells under the locked fragility thresholds.",figure_02_lodo_generalization,Mention the two-class held-out-device caveat where relevant.
IVB01,IV-B. Classical Baseline Performance,result,descriptive_quantitative,HistGradientBoosting has the highest descriptive mean Macro-F1 among the four classical baselines.,table_02_classical_baselines,Explicitly state that this ranking is not final model selection.
IVC01,IV-C. Compression Accuracy Trade-offs,result,quantitative,The compression study contains 22 five-seed architecture–variant groups and exposes distinct accuracy–size trade-offs.,figure_03_compression_tradeoff; table_03_compression_results,Keep Phase 5 descriptive; do not present a final selection here.
IVC02,IV-C. Compression Accuracy Trade-offs,fragility,quantitative,"Three Phase 5 groups triggered fragility in at least one run: TinyML-MLP P50-noFT, TinyML-MLP DQ, and Compact-DNN P50-noFT.",table_03_compression_results,Do not generalize this fragility label beyond the locked gate.
IVD01,IV-D. CPU Deployment Benchmarks,deployment,descriptive,"Deployment measurements use isolated single-thread CPU runs and report batch-1 latency, batch-32 throughput, state size, and peak inference RSS.",table_04_deployment_benchmarks,State that validation and test data were not accessed by the benchmark.
IVE01,IV-E. Statistical Analysis,inference,quantitative_inferential,"All 16 omnibus tests reject at the nominal level, while none of the 160 exact paired post-hoc comparisons reject after Holm correction.",table_05_statistical_analysis,Do not interpret zero post-hoc rejections as equivalence.
