asset_order,asset_id,asset_type,title,source_sections,evidence_file_count,visual_form,primary_message,planned_outputs,generation_status,model_inference_required,test_array_access_required
1,figure_01_methodology_overview,figure,Leakage-Controlled TinyML IDS Experimental Pipeline,phase3_lodo;phase5_compression;phase6_deployment_benchmarks;phase8_selection;phase9_deployment_artifact;phase10_release;phase11_robustness,51,vector workflow diagram,"The study is an end-to-end, leakage-aware and deployment-oriented TinyML IDS workflow.",SVG;PDF;PNG,planned,False,False
2,figure_02_lodo_generalization,figure,Leave-One-Device-Out Generalization,phase3_lodo,3,device-level grouped point or bar chart,Neural TinyML models retain strong performance under strict device holdout.,PDF;PNG;CSV,planned,False,False
3,figure_03_compression_tradeoff,figure,Compression Accuracy and Resource Trade-off,phase5_compression;phase6_deployment_benchmarks,21,Pareto scatter with model size or latency against Macro-F1,P50-QAT provides a favorable TinyML deployment trade-off.,PDF;PNG;CSV,planned,False,False
4,figure_04_pareto_selection,figure,Final Model-Family Pareto Selection,phase6_deployment_benchmarks;phase7_statistics;phase8_selection,46,annotated Pareto frontier,"The final family was chosen from multi-objective deployment evidence, not test-metric ranking of checkpoints.",PDF;PNG;CSV,planned,False,False
5,figure_05_input_robustness,figure,Input Perturbation Robustness,phase11_robustness,7,condition-wise Macro-F1 line chart,TinyML models are substantially more stable than HGB under noise and scale drift.,PDF;PNG;CSV,planned,False,False
6,table_01_dataset_protocol,table,"Dataset, Split, Leakage-Control, and Evaluation Protocol",phase3_lodo;phase4_classical_baselines;phase5_compression,16,manuscript summary table,"Evaluation follows locked, leakage-aware and test-isolated protocols.",CSV;DOCX-ready;LaTeX-ready,planned,False,False
7,table_02_classical_baselines,table,Classical Baseline Performance,phase4_classical_baselines,8,performance comparison table,HGB is the strongest clean-data classical baseline but is not the most robust.,CSV;DOCX-ready;LaTeX-ready,planned,False,False
8,table_03_compression_results,table,Five-Seed Compression Results,phase5_compression,5,"mean, standard deviation, weighted Macro-F1, size, and fragility table",QAT preserves accuracy better than post-training dynamic quantization.,CSV;DOCX-ready;LaTeX-ready,planned,False,False
9,table_04_deployment_benchmarks,table,CPU Deployment Benchmark Results,phase6_deployment_benchmarks,16,"latency, throughput, size, parameter, and MAC comparison table",The selected static-INT8 family reduces resource demand while retaining accuracy.,CSV;DOCX-ready;LaTeX-ready,planned,False,False
10,table_05_statistical_analysis,table,Omnibus and Post-hoc Statistical Results,phase7_statistics,15,confirmatory and exploratory test table,"Global differences are detectable, while five-seed pairwise resolution remains limited.",CSV;DOCX-ready;LaTeX-ready,planned,False,False
11,table_06_robustness_results,table,Input Robustness Results,phase11_robustness,7,27-run robustness result table,HGB has five severe fragility cases; TinyML models have none.,CSV;DOCX-ready;LaTeX-ready,planned,False,False
12,table_07_reproducibility_release,table,Reproducibility and Release Artifacts,phase8_selection;phase9_deployment_artifact;phase10_release;phase11_robustness,27,artifact and integrity table,The selected deployment package is independently verified and reproducibly locked.,CSV;DOCX-ready;LaTeX-ready,planned,False,False
