configuration_id,architecture,variant,canonical_variant,alias_resolution,seed,source_variant,source_state_policy,pruning_ratio,physical_compaction,fake_quantization,training_mode,budget_name,optimizer,learning_rate,batch_size,max_epochs,early_stopping_patience,early_stopping_min_delta,weight_decay,selection_metric,phase5_test_evaluation_count,test_policy,output_directory,status
tinyml_mlp__b0__seed_42,tinyml_mlp,B0,B0,,42,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.003,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42,locked_not_started
tinyml_mlp__b0__seed_123,tinyml_mlp,B0,B0,,123,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.003,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123,locked_not_started
tinyml_mlp__b0__seed_2026,tinyml_mlp,B0,B0,,2026,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.003,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026,locked_not_started
tinyml_mlp__b0__seed_3407,tinyml_mlp,B0,B0,,3407,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.003,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407,locked_not_started
tinyml_mlp__b0__seed_8192,tinyml_mlp,B0,B0,,8192,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.003,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192,locked_not_started
tinyml_mlp__fp32_ft__seed_42,tinyml_mlp,FP32-FT,FP32-FT,,42,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_42,locked_not_started
tinyml_mlp__fp32_ft__seed_123,tinyml_mlp,FP32-FT,FP32-FT,,123,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_123,locked_not_started
tinyml_mlp__fp32_ft__seed_2026,tinyml_mlp,FP32-FT,FP32-FT,,2026,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_2026,locked_not_started
tinyml_mlp__fp32_ft__seed_3407,tinyml_mlp,FP32-FT,FP32-FT,,3407,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_3407,locked_not_started
tinyml_mlp__fp32_ft__seed_8192,tinyml_mlp,FP32-FT,FP32-FT,,8192,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_8192,locked_not_started
