asset_order,asset_id,asset_type,source_id,source_type,field_order,field,role,relative_path,validation_status
1,figure_01_methodology_overview,figure,lodo_global_summary,json,1,scope.device_count,LODO scope and gate,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
1,figure_01_methodology_overview,figure,lodo_global_summary,json,2,scope.model_count,LODO scope and gate,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
1,figure_01_methodology_overview,figure,lodo_global_summary,json,3,scope.scientific_run_count,LODO scope and gate,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
1,figure_01_methodology_overview,figure,lodo_global_summary,json,4,gate.passed,LODO scope and gate,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
1,figure_01_methodology_overview,figure,phase5_closure,json,1,architecture_count,Compression experiment scope,results/v2/audit/phase5_compression_closure_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase5_closure,json,2,variant_count,Compression experiment scope,results/v2/audit/phase5_compression_closure_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase5_closure,json,3,seed_count,Compression experiment scope,results/v2/audit/phase5_compression_closure_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase5_closure,json,4,final_run_count,Compression experiment scope,results/v2/audit/phase5_compression_closure_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase5_closure,json,5,group_count,Compression experiment scope,results/v2/audit/phase5_compression_closure_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase6_summary,json,1,run_count,Deployment benchmark protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase6_summary,json,2,runtime_policy.cpu_threads,Deployment benchmark protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase6_summary,json,3,runtime_policy.interop_threads,Deployment benchmark protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase6_summary,json,4,data_access.validation_data_access,Deployment benchmark protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase6_summary,json,5,data_access.test_data_access,Deployment benchmark protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase8_final_model_lock,json,1,selected_model_family.candidate_id,Model-family selection,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase8_final_model_lock,json,2,selected_model_family.representation,Model-family selection,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase8_final_model_lock,json,3,final_model_family_selected,Model-family selection,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase9_artifact_lock,json,1,canonical_seed,Final deployment artifact,results/v2/audit/phase9_final_deployment_artifact_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase9_artifact_lock,json,2,source_bundle_checkpoint_exact,Final deployment artifact,results/v2/audit/phase9_final_deployment_artifact_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase9_artifact_lock,json,3,serialization_roundtrip_exact,Final deployment artifact,results/v2/audit/phase9_final_deployment_artifact_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase9_artifact_lock,json,4,final_deployment_artifact_locked,Final deployment artifact,results/v2/audit/phase9_final_deployment_artifact_locked_v3_2.json,passed
1,figure_01_methodology_overview,figure,phase10_release_lock,json,1,payload_file_count,Deterministic release,results/v2/audit/phase10_release_archive_locked_v3_3.json,passed
