stage,profile,criterion,operator,threshold,direction,primary_profile
eligibility,strict,candidate_role,equals,compressed_candidate,required,False
eligibility,strict,fragility_triggered_in_any_run,equals,False,required,False
eligibility,strict,mean_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.001,lower_is_better,False
eligibility,strict,worst_seed_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.0025,lower_is_better,False
eligibility,strict,mean_raw_weighted_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.002,lower_is_better,False
eligibility,strict,deployment_improvement_count,greater_than_or_equal,1,required,False
eligibility,balanced,candidate_role,equals,compressed_candidate,required,True
eligibility,balanced,fragility_triggered_in_any_run,equals,False,required,True
eligibility,balanced,mean_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.002,lower_is_better,True
eligibility,balanced,worst_seed_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.005,lower_is_better,True
eligibility,balanced,mean_raw_weighted_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.003,lower_is_better,True
eligibility,balanced,deployment_improvement_count,greater_than_or_equal,1,required,True
eligibility,relaxed,candidate_role,equals,compressed_candidate,required,False
eligibility,relaxed,fragility_triggered_in_any_run,equals,False,required,False
eligibility,relaxed,mean_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.005,lower_is_better,False
eligibility,relaxed,worst_seed_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.01,lower_is_better,False
eligibility,relaxed,mean_raw_weighted_macro_f1_loss_vs_architecture_B0,less_than_or_equal,0.007,lower_is_better,False
eligibility,relaxed,deployment_improvement_count,greater_than_or_equal,1,required,False
Pareto,balanced,mean_test_fingerprint_macro_f1,maximize,,predictive_quality,True
Pareto,balanced,mean_serialized_state_dict_bytes,minimize,,storage,True
Pareto,balanced,mean_batch_1_median_ms,minimize,,single_sample_latency,True
Pareto,balanced,mean_batch_32_samples_per_second,maximize,,throughput,True
deterministic_selection,balanced,eligible_under_balanced_profile,required_true,1,selection_order,True
deterministic_selection,balanced,Pareto_nondominated,required_true,2,selection_order,True
deterministic_selection,balanced,mean_serialized_state_dict_bytes,ascending,3,selection_order,True
deterministic_selection,balanced,mean_batch_1_median_ms,ascending,4,selection_order,True
deterministic_selection,balanced,mean_batch_32_samples_per_second,descending,5,selection_order,True
deterministic_selection,balanced,mean_test_fingerprint_macro_f1,descending,6,selection_order,True
deterministic_selection,balanced,architecture,lexicographic_ascending,7,selection_order,True
deterministic_selection,balanced,variant,lexicographic_ascending,8,selection_order,True
