run_id,model_id,architecture,seed,input_space,fit_sample_weight,expected_test_evaluation_count,output_directory
logistic_regression_b0__seed_2026,logistic_regression_b0,logistic_regression,2026,train_only_standardized_float32,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\logistic_regression_b0__seed_2026
decision_tree_b0__seed_42,decision_tree_b0,decision_tree,42,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\decision_tree_b0__seed_42
decision_tree_b0__seed_123,decision_tree_b0,decision_tree,123,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\decision_tree_b0__seed_123
decision_tree_b0__seed_2026,decision_tree_b0,decision_tree,2026,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\decision_tree_b0__seed_2026
decision_tree_b0__seed_3407,decision_tree_b0,decision_tree,3407,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\decision_tree_b0__seed_3407
decision_tree_b0__seed_8192,decision_tree_b0,decision_tree,8192,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\decision_tree_b0__seed_8192
random_forest_b0__seed_42,random_forest_b0,random_forest,42,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\random_forest_b0__seed_42
random_forest_b0__seed_123,random_forest_b0,random_forest,123,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\random_forest_b0__seed_123
random_forest_b0__seed_2026,random_forest_b0,random_forest,2026,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\random_forest_b0__seed_2026
random_forest_b0__seed_3407,random_forest_b0,random_forest,3407,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\random_forest_b0__seed_3407
random_forest_b0__seed_8192,random_forest_b0,random_forest,8192,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\random_forest_b0__seed_8192
hist_gradient_boosting_b0__seed_2026,hist_gradient_boosting_b0,hist_gradient_boosting,2026,canonical_float32_unscaled,none,1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\tabular_baselines\runs\hist_gradient_boosting_b0__seed_2026
