profile,architecture,variant,eligible,Pareto_nondominated,dominated_by_count,all_checks_passed
strict,tinyml_mlp,P25-noFT,False,False,0,True
strict,tinyml_mlp,P25-FP32-FT,True,True,0,True
strict,tinyml_mlp,P50-noFT,False,False,0,True
strict,tinyml_mlp,P50-FP32-FT,True,True,0,True
strict,tinyml_mlp,DQ,False,False,0,True
strict,tinyml_mlp,QAT,False,False,0,True
strict,tinyml_mlp,P25-QAT,False,False,0,True
strict,tinyml_mlp,P50-QAT,False,False,0,True
strict,tinyml_mlp,PTQ,False,False,0,True
strict,compact_dnn,P25-noFT,True,False,3,True
strict,compact_dnn,P25-FP32-FT,True,False,1,True
strict,compact_dnn,P50-noFT,False,False,0,True
strict,compact_dnn,P50-FP32-FT,True,False,2,True
strict,compact_dnn,DQ,False,False,0,True
strict,compact_dnn,QAT,False,False,0,True
strict,compact_dnn,P25-QAT,False,False,0,True
strict,compact_dnn,P50-QAT,False,False,0,True
strict,compact_dnn,PTQ,False,False,0,True
balanced,tinyml_mlp,P25-noFT,False,False,0,True
balanced,tinyml_mlp,P25-FP32-FT,True,True,0,True
balanced,tinyml_mlp,P50-noFT,False,False,0,True
balanced,tinyml_mlp,P50-FP32-FT,True,True,0,True
balanced,tinyml_mlp,DQ,False,False,0,True
balanced,tinyml_mlp,QAT,True,True,0,True
balanced,tinyml_mlp,P25-QAT,True,True,0,True
balanced,tinyml_mlp,P50-QAT,True,True,0,True
balanced,tinyml_mlp,PTQ,False,False,0,True
balanced,compact_dnn,P25-noFT,True,False,3,True
balanced,compact_dnn,P25-FP32-FT,True,False,1,True
balanced,compact_dnn,P50-noFT,False,False,0,True
balanced,compact_dnn,P50-FP32-FT,True,False,2,True
balanced,compact_dnn,DQ,False,False,0,True
balanced,compact_dnn,QAT,True,False,3,True
balanced,compact_dnn,P25-QAT,True,False,1,True
balanced,compact_dnn,P50-QAT,True,False,4,True
balanced,compact_dnn,PTQ,False,False,0,True
relaxed,tinyml_mlp,P25-noFT,False,False,0,True
relaxed,tinyml_mlp,P25-FP32-FT,True,True,0,True
relaxed,tinyml_mlp,P50-noFT,False,False,0,True
relaxed,tinyml_mlp,P50-FP32-FT,True,True,0,True
relaxed,tinyml_mlp,DQ,False,False,0,True
relaxed,tinyml_mlp,QAT,True,True,0,True
relaxed,tinyml_mlp,P25-QAT,True,True,0,True
relaxed,tinyml_mlp,P50-QAT,True,True,0,True
relaxed,tinyml_mlp,PTQ,False,False,0,True
relaxed,compact_dnn,P25-noFT,True,False,3,True
relaxed,compact_dnn,P25-FP32-FT,True,False,1,True
relaxed,compact_dnn,P50-noFT,False,False,0,True
relaxed,compact_dnn,P50-FP32-FT,True,False,2,True
relaxed,compact_dnn,DQ,False,False,0,True
relaxed,compact_dnn,QAT,True,False,3,True
relaxed,compact_dnn,P25-QAT,True,False,1,True
relaxed,compact_dnn,P50-QAT,True,False,4,True
relaxed,compact_dnn,PTQ,False,False,0,True
